,user,email_size,attachments,recipients,working_day_emails,address_count,weekend_emails,insider,working_day_files,weekend_files,doc,exe,jpg,pdf,txt,zip,weekend_device,weekday_device,weekday_http,weekend_http,url_shortened,black_domains,tld_am,tld_co,tld_com,tld_eu,tld_fm,tld_gov,tld_li,tld_me,tld_net,tld_org,tld_ph,tld_tv,tld_uk,tld_us,role,functional_unit,department,team
0,LAP0338,30020.39418382509,0.3778390999787731,1.638930163447251,13.655072463768116,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29.0,29.0,1.0,0.0,1.1333333333333333,1.0,26.28952772073922,0.0,0.0,1.0625,0.0,1.304878048780488,2.3908045977011496,1.5054945054945057,1.0,0.0,1.0,0.0,6,5,3,1
1,MOH0273,30397.40208333333,0.7583333333333333,1.6708333333333334,2.962962962962963,2,8,0,23,22,14.87780548628429,0.1172069825436409,1.167082294264339,4.683291770573566,1.189526184538653,1.172069825436409,8,7,95.0,95.0,3.5,0.0,1.0,3.5,86.5860349127182,0.0,0.0,0.0,0.0,1.0,6.741847826086956,2.8613861386138613,0.0,0.0,1.0,0.0,29,2,3,4
2,HVB0037,29958.49767596281,0.0,1.658366533864542,8.705202312138729,3,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,143.0,143.0,1.0,1.4042553191489362,0.0,1.0,132.72208436724566,0.0,0.0,4.352750809061488,0.0,0.0,3.812316715542522,3.8022598870056497,1.0,0.0,1.654320987654321,0.0,25,1,6,1
3,NWK0215,29828.18154761905,0.431547619047619,1.6517857142857142,1.0,2,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,143.0,143.0,1.1428571428571428,1.497584541062802,0.0,1.0909090909090908,135.55180180180182,1.6470588235294117,1.4,2.333333333333333,0.0,1.0,2.440758293838863,4.394299287410926,0.0,1.0,2.3541666666666665,0.0,25,1,6,1
4,LRR0148,29895.53262518968,0.9301972685887708,1.5872534142640364,2.9419642857142856,2,13,0,3,3,2.2734375,0.01171875,0.21875,0.671875,0.1796875,0.1875,2,2,143.0,143.0,0.0,1.1176470588235294,2.3726415094339623,0.0,115.03,0.0,1.5,0.0,0.0,2.184738955823293,5.390052356020942,17.402010050251256,1.0,0.0,3.333333333333333,1.0,14,4,3,-1
5,AJR0319,29791.21238938053,0.43952802359882,1.6666666666666667,1.0,2,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162.0,162.0,2.8742138364779874,0.0,1.0,2.7163461538461537,143.95291479820628,1.5,1.8295454545454544,3.1188811188811187,0.0,0.0,11.28606356968215,4.6923076923076925,0.0,0.0,1.4375,1.4838709677419355,1,5,2,1
6,HSB0196,30387.103448275862,0.8758620689655172,1.6413793103448275,2.9,2,10,0,24,24,15.67578947368421,0.16,1.2905263157894735,4.825263157894737,1.2947368421052632,1.231578947368421,7,8,120.0,120.0,0.0,1.0,10.023474178403756,0.0,101.38315789473684,1.0757575757575757,1.9285714285714288,1.6764705882352942,0.0,0.0,3.380503144654088,5.496,0.0,0.0,1.2093023255813953,1.7665505226480835,21,6,1,-1
7,JDC0030,30101.81845238096,0.3720238095238095,1.6428571428571428,1.0,2,10,0,5,5,3.3576642335766422,0.0437956204379562,0.2481751824817518,1.094890510948905,0.2627737226277372,0.2773722627737226,1,1,114.0,114.0,0.0,2.2916666666666665,0.0,0.0,107.90146750524109,0.0,1.0,1.2222222222222223,0.0,1.0,2.4439834024896268,5.0,0.0,1.2173913043478262,1.1363636363636365,0.0,5,1,6,-1
8,MHH0180,29620.004,0.0,1.655,2.9411764705882355,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,27.0,27.0,1.0,0.0,0.0,1.0,25.3029197080292,1.0,1.25,0.0,0.0,1.0,1.7159763313609468,1.3627450980392155,0.0,0.0,1.0,1.0,6,5,3,1
9,SSJ0784,29848.87780136825,0.2314225053078556,1.6548714319414957,14.49402390438247,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29.0,29.0,1.0,1.35,0.0,1.0212765957446808,25.931567328918323,0.0,1.1363636363636365,1.1643835616438356,0.0,0.0,1.9478527607361964,1.941379310344828,0.0,1.588235294117647,1.0,1.0,6,5,3,4
10,YIC0195,30265.86069651741,0.2082918739635157,1.6301824212271974,8.76453488372093,2,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,114.0,114.0,0.0,3.229946524064171,6.180212014134276,0.0,94.9943181818182,0.0,2.6026200873362444,1.25,0.0,0.0,9.811501597444089,1.912408759124088,0.0,1.0,3.164383561643836,1.576530612244898,21,6,1,-1
11,WPR0368,29335.427435387675,0.2226640159045725,1.6262425447316102,2.941520467836257,2,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,113.91117478510029,114.0,2.232258064516129,1.0,0.0,2.198952879581152,100.2488262910798,0.0,1.25,1.938931297709924,4.678571428571429,1.05,4.6287262872628725,4.401574803149607,0.0,0.0,1.0,1.1515151515151516,7,1,6,3
12,NAH0503,29456.2,0.2705882352941176,1.7088235294117646,1.0,2,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,162.0,162.0,2.5689655172413794,1.4692737430167595,2.861635220125786,2.522613065326633,145.50757575757575,1.0,1.855421686746988,2.5204918032786887,0.0,0.0,4.852507374631268,7.66321243523316,0.0,0.0,1.5943396226415094,1.2608695652173914,1,5,2,2
13,IAR0694,30014.550115779028,0.3989414488918293,1.6529937148527951,8.736994219653178,2,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,95.0,95.0,0.0,0.0,0.0,0.0,92.0940594059406,2.0,1.5357142857142858,2.4863013698630136,0.0,1.0769230769230769,1.3617021276595744,2.159090909090909,1.0,0.0,1.0909090909090908,1.0,22,2,2,4
14,AMW0392,30021.77176278564,0.5870511425462459,1.632208922742111,10.655072463768116,2,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90.0,90.0,0.0,0.0,3.0100334448160537,0.0,79.54444444444445,0.0,1.5,1.5476190476190477,0.0,1.0,5.774346793349169,3.2421052631578946,1.0,0.0,1.0,1.0,22,2,2,2
15,JCR0172,30008.488815789475,0.5430921052631579,1.6361842105263158,8.81159420289855,2,14,0,3,3,2.4380952380952383,0.0095238095238095,0.2285714285714285,0.7523809523809524,0.2,0.238095238095238,1,1,162.0,162.0,0.0,0.0,0.0,0.0,139.73218673218673,1.0,1.0,1.0,0.0,1.3793103448275863,9.576,13.131926121372032,1.0,0.0,2.114427860696517,1.2307692307692308,1,5,2,1
16,IRM0931,29973.24860974812,0.7638207392868825,1.6372260385999349,8.860869565217392,2,8,0,6,6,4.480362537764351,0.0332326283987915,0.3836858006042296,1.2809667673716012,0.3746223564954682,0.3293051359516616,1,1,95.0,95.0,0.0,0.0,0.0,0.0,84.79035639412997,1.0,0.0,2.136,0.0,0.0,3.378306878306878,6.389247311827957,0.0,0.0,1.926553672316384,1.0,0,2,2,6
17,BQS0525,30745.543543543543,0.5195195195195195,1.6096096096096095,1.0,2,2,0,2,2,1.681818181818182,0.0,0.1818181818181818,0.6363636363636364,0.0454545454545454,0.0454545454545454,8,7,27.0,27.0,1.0,0.0,0.0,1.0,23.551020408163264,0.0,1.25,0.0,0.0,0.0,1.1666666666666667,3.024390243902439,0.0,0.0,1.2,0.0,6,5,3,2
18,IKP0472,29737.61948650428,0.2044107965766952,1.640223831468071,8.780346820809248,2,1,0,3,3,2.293859649122807,0.0175438596491228,0.175438596491228,0.7280701754385965,0.1666666666666666,0.1798245614035087,1,1,9.0,9.0,0.0,1.0921052631578947,0.0,0.0,7.809716599190283,0.0,0.0,1.242603550295858,0.0,0.0,1.1297709923664123,1.2173913043478262,0.0,0.0,1.0,0.0,3,3,3,2
19,NOB0181,29789.61607142857,0.0,1.6428571428571428,1.0,2,2,0,5,5,3.481012658227848,0.0126582278481012,0.2689873417721519,1.0886075949367089,0.3291139240506329,0.2088607594936709,1,1,27.0,27.0,0.0,1.1590909090909092,0.0,0.0,25.096638655462183,0.0,1.2926829268292683,0.0,0.0,1.105263157894737,1.974910394265233,1.5602409638554218,0.0,0.0,1.0,1.0,6,5,3,1
20,RRC0553,29865.22033898305,0.0,1.6679960119641075,2.9156976744186047,2,8,0,24,25,15.907407407407408,0.1851851851851851,1.2407407407407407,4.685185185185185,1.4074074074074074,1.4259259259259258,1,1,95.0,95.0,0.0,0.0,0.0,0.0,84.5657894736842,0.0,2.0,1.6,0.0,1.0,2.7222222222222223,5.835616438356165,1.125,0.0,3.2280701754385963,1.0,16,2,1,3
21,CJM0521,30272.84980237154,0.3636363636363636,1.6857707509881423,2.941860465116279,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29.0,29.0,0.0,0.0,0.0,0.0,23.762419006479483,0.0,0.0,0.0,0.0,1.3333333333333333,1.8693877551020408,4.014423076923077,1.0,1.2413793103448276,1.300518134715026,0.0,6,5,3,2
22,HAD0246,30189.718805440567,0.5452395032525134,1.611472501478415,8.820512820512821,2,9,0,3,2,2.0,0.0294117647058823,0.1372549019607843,0.5588235294117647,0.2058823529411764,0.1568627450980392,1,1,95.0,95.0,5.0,1.0,0.0,5.0,89.61382113821138,2.6666666666666665,1.098360655737705,1.0,0.0,1.0,1.2,4.646118721461187,0.0,0.0,1.8609022556390975,0.0,26,2,3,1
